case_id,group,stage,model_type,priority,Rin_mm,L_mm,N_layers,t_ferrite_mm,g_radial_mm,T_ferrite_total_mm,T_space_mm,N_segments,circumferential_gap_mm,coverage_phi,segment_pattern,external_field_direction,coil_direction,mu_r_prime,sigma_S_per_m,export_required,status,used_in_paper,purpose,notes
M0_B0_x,main,reference,no_shield,1,100,200,0,0,0,0,0,0,0,0,none,x,,1000,0.01,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T",planned,no,"external uniform-field reference","run once per external-field direction; ferrite replaced by vacuum"
C1_N1_t008_x,main,screen_continuous,continuous_shell,1,100,200,1,0.08,0,0.08,0.08,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,no,"minimum manufacturable single-layer baseline","priority-1 transverse continuous-shell case"
C1_N1_t020_x,main,screen_continuous,continuous_shell,1,100,200,1,0.20,0,0.20,0.20,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,no,"practical thin single-layer baseline","priority-1 transverse continuous-shell case"
C1_N1_t040_x,main,screen_continuous,continuous_shell,1,100,200,1,0.40,0,0.40,0.40,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,no,"mid-thickness single-layer baseline","priority-1 transverse continuous-shell case"
C1_N1_t060_x,main,screen_continuous,continuous_shell,1,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,no,"maximum manufacturable single-layer baseline","priority-1 transverse continuous-shell case"
C2_N2_t020_g010_x,main,screen_continuous,continuous_shell,1,100,200,2,0.20,0.10,0.40,0.50,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2",planned,no,"two-layer thin candidate","priority-1 transverse continuous-shell case"
C2_N3_t020_g010_x,main,screen_continuous,continuous_shell,1,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3",planned,no,"three-layer candidate","priority-1 transverse continuous-shell case; total ferrite thickness is 0.60 mm"
C2_N4_t015_g008_x,main,screen_continuous,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4",planned,no,"four-layer candidate","priority-1 transverse continuous-shell case; same ferrite thickness as 3x0.20 mm"
C2_N6_t010_g008_x,optional,screen_continuous,continuous_shell,2,100,200,6,0.10,0.08,0.60,1.00,0,0,1.00,none,x,x,1000,0.01,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_L5;IntH2_L6",planned,no,"optional high-layer-count screen","do not use as main result unless solved/exported/processed"
M0_B0_z,planned_extension,reference,no_shield,2,100,200,0,0,0,0,0,0,0,0,none,z,,1000,0.01,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T",planned,no,"axial external-field reference","planned z-directed reference for axial shielding"
