case_id,stage,model_type,priority,Rin_mm,H_mm,N_layers,t_ferrite_mm,g_radial_mm,T_ferrite_total_mm,T_space_mm,N_segments,circumferential_gap_mm,coverage_phi,slot_pattern,external_field_direction,coil_direction,mu_r,sigma_S_per_m,status,export_required,purpose,notes
B0_reference_x,reference,no_shield,0,100,200,0,0,0,0,0,0,0,0,none,x,,1000,0.01,failed,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T","canonical transverse no-shield reference","Existing copied export fails x-direction dominance; rebuild no-shield x reference before SF use"
B0_reference_z,reference,no_shield,0,100,200,0,0,0,0,0,0,0,0,none,z,,1000,0.01,planned,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T","canonical axial no-shield reference","Create/export as standalone z-directed reference"
C1_N1_t008_x,screen_continuous,continuous_shell,1,100,200,1,0.08,0,0.08,0.08,0,0,1.00,none,x,x,1000,0.01,built,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","priority-1 transverse single-layer baseline","AEDT project exists under round2_working/manufacturable_thin; exports still pending verification"
C1_N1_t020_x,screen_continuous,continuous_shell,1,100,200,1,0.20,0,0.20,0.20,0,0,1.00,none,x,x,1000,0.01,built,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","priority-1 transverse single-layer baseline","AEDT project exists under round2_working/manufacturable_thin; exports still pending verification"
C1_N1_t040_x,screen_continuous,continuous_shell,1,100,200,1,0.40,0,0.40,0.40,0,0,1.00,none,x,x,1000,0.01,built,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","priority-1 transverse single-layer baseline","AEDT project exists under round2_working/manufacturable_thin; exports still pending verification"
C1_N1_t060_x,screen_continuous,continuous_shell,1,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,x,x,1000,0.01,built,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","priority-1 transverse single-layer baseline","AEDT project exists under round2_working/manufacturable_thin; exports still pending verification"
C2_N2_t020_g010_x,screen_continuous,continuous_shell,1,100,200,2,0.20,0.10,0.40,0.50,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2","priority-1 transverse multilayer candidate","Hold until all four single-layer SFx values pass validation"
C2_N3_t020_g010_x,screen_continuous,continuous_shell,1,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3","priority-1 transverse multilayer candidate","Hold until all four single-layer SFx values pass validation"
C2_N4_t015_g008_x,screen_continuous,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4","priority-1 transverse multilayer candidate","Hold until all four single-layer SFx values pass validation"
C1_N1_t060_z,axial_extension,continuous_shell,2,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,z,z,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","selected axial-field extension","Run after priority-1 transverse screening"
C2_N3_t020_g010_z,axial_extension,continuous_shell,2,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,z,z,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3","selected axial-field extension","Run after priority-1 transverse screening"
C2_N4_t015_g008_z,axial_extension,continuous_shell,2,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,z,z,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4","selected axial-field extension","Run after priority-1 transverse screening"
S1_N1_t060_seg12_aligned_x,segmentation_check,segmented_shell_3d,2,100,200,1,0.60,0,0.60,0.60,12,1.6,0.95,aligned,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented aligned correction for selected single-layer case","Run after priority-1 screening"
S1_N1_t060_seg12_staggered_x,segmentation_check,segmented_shell_3d,2,100,200,1,0.60,0,0.60,0.60,12,1.6,0.95,staggered,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented staggered correction for selected single-layer case","Run after priority-1 screening"
S2_N3_t020_g010_seg12_aligned_x,segmentation_check,segmented_shell_3d,2,100,200,3,0.20,0.10,0.60,0.80,12,1.6,0.95,aligned,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented aligned correction for selected N=3 case","Run after priority-1 screening"
S2_N3_t020_g010_seg12_staggered_x,segmentation_check,segmented_shell_3d,2,100,200,3,0.20,0.10,0.60,0.80,12,1.6,0.95,staggered,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented staggered correction for selected N=3 case","Run after priority-1 screening"
S2_N4_t015_g008_seg12_aligned_x,segmentation_check,segmented_shell_3d,2,100,200,4,0.15,0.08,0.60,0.84,12,1.6,0.95,aligned,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented aligned correction for selected N=4 case","Run after priority-1 screening"
S2_N4_t015_g008_seg12_staggered_x,segmentation_check,segmented_shell_3d,2,100,200,4,0.15,0.08,0.60,0.84,12,1.6,0.95,staggered,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","segmented staggered correction for selected N=4 case","Run after priority-1 screening"
MU_C2_N3_t020_g010_x_mu500,mu_sensitivity,continuous_shell,2,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,500,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","permeability sensitivity","Representative candidate; planned"
MU_C2_N3_t020_g010_x_mu2000,mu_sensitivity,continuous_shell,2,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,2000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","permeability sensitivity","Representative candidate; planned"
MU_C2_N3_t020_g010_x_mu5000,mu_sensitivity,continuous_shell,2,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,5000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total","permeability sensitivity","Representative candidate; planned"
MESH_C1_N1_t008_x,mesh_convergence,continuous_shell,2,100,200,1,0.08,0,0.08,0.08,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1","mesh convergence","Representative thin single-layer convergence case"
MESH_C2_N4_t015_g008_x,mesh_convergence,continuous_shell,2,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4","mesh convergence","Representative multilayer convergence case"
C2_N6_t010_g008_x,optional_extension,continuous_shell,3,100,200,6,0.10,0.08,0.60,1.00,0,0,1.00,none,x,x,1000,0.01,planned,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_L5;IntH2_L6","optional high-layer-count extension","Only run if priority-1 results show clear multilayer benefit"
